keys,en,de,it
CREATE_MANAGER,Create Manager,Manager erstellen,Crea allenatore
MANAGER,Manager,Manager,Allenatore
NAME,Name,Name,Nome
SURNAME,Surname,Nachname,Cognome
PLAYER_NAMES,Player names,Spieler Namen,Nomi giocatori
BIRTH_DATE,Birth date,Geburtstag,Compleanno
START_YEAR,Starting year,Startjahr,Anno d'inizio
FAV_TEAM,Favourite Team,Liebliengs-Team,Squadra favorita
NATIONALITY,Nationality,Nationalität,Naziolanità
BACK,Back,Zurück,Indietro
CONTINUE,Continue,Weiter,Avanti
FIELD,Field,Feld,campo
STATS,Stats,Stats,Stats
EVENTS,Events,Events,Eventi
TACTICS,Tactics,Taktiken,Tattiche
FORMATION,Formation,Aufstellung,Formazione
START,Start,Start,Inizia
CALENDAR,Calendar,Kalender,Calendario
TABLE,Table,Tabelle,Classifica
EMAIL,E-Mail,E-Mail,E-Mail
SEARCH_PLAYER,Search player,Spieler suchen,Cerca giocatore
MENU,Menu,Menü,Menu
SETTINGS,Settings,Einstellungen,Impostazioni
START_MATCH,Start match,Spielbeginn,Inizia partita
NEXT_DAY,Next day,Nächster Tag,Prossimo giorno
NEXT_MATCH,Next match,Nächstes Spiel,Prossima partita
WELCOME,Welcome,Wilkommen,Benvenuto
MALE,Male,Männlich,Maschile
FEMALE,Female,Weiblich,Femminile
MIXED,Female,Gemischt,Misto
ITALY,Italy,Italien,Italia
SPAIN,Spain,Spanien,Spagna
ROMANIA,Romania,Rumänien,Romania
NEW_GAME,New game,Neues Spiel,Nuova partita
LOAD_GAME,Load game,Spiel laden,Carica partita
DARK,Dark,Dunkel,Scuro
LIGHT,light,Hell,Chiaro
DEFAULT_SETTINGS,Default settings,Standardeinstellung,Impostazioni predefinite
THEME,Theme,Thema,Tema
RESOLUTION,Resolution,Auflösung,Risoluzione
VERSION,Version,Version,Versione
DELETE,Delete,Löschen,Cancella
TEAM,Team,Mannschaft,Squadra
TABLE_PLACEMENT,Table placement,Tabellenstand,Posto in classifica
LAST_SAVE,Last save,Letzer Speicherstand,Ultimo salvataggio
CREATED,Created,Erstellt,Creato
GAME_DATE,Date in game,Datum im Spiel,Data nel gioco
STAR,Start,Stern,Stella
SUBJECT,Subject,Betreff,Oggetto
FROM,From,Von,Da
UNREAD,Unread,Ungelesen,Da leggere
STARRED,Starred,Favoriten,Favoriti
SEARCH,Search,Sucher,Cerca
INFO,Info,Info,Info
PLAYERS,Players,Spieler,Giocatori
SEED,Seed,Seed,Seed
START_DATE,Start date,Startdatum,Data inizio
COPY,Copy,Kopieren,Copia
MONDAY,Monday,Montag,Lunedi
TUESDAY,Tuesday,Dienstag,Martedi
WEDNESDAY,Wednesday,Mittwoch,Mercoledi
THURSDAY,Thursday,Donnerstag,Giovedi
FRIDAY,Friday,Freitag,Venerdi
SATURDAY,Saturday,Samstag,Sabato
SUNDAY,Sunday,Sonntag,Domenica
MON,Mon,Mo,Lun
TUE,Tue,Di,Mar
WED,Wed,Mi,Mer
THU,Thu,Do,Gio
FRI,Fri,Fr,Ven
SAT,Sat,Sa,Sab
SUN,Sun,So,Dom
JANUARY,January,Januar,Gennaio
FEBRUARY,February,Februar,Febbraio
MARCH,March,März,Marzo
APRIL,April,April,Aprile
MAY,May,Mai,Maggio
JUNE,June,Juni,Giugno
JULY,July,Juli,Luglio
AUGUST,August,August,Agosto
SEPTEMBER,September,September,Settembre
OCTOBER,October,Oktober,Ottobre
NOVEMBER,November,November,Novembre
DICEMBER,Dicember,Dezember,Dicembre
JAN,Jan,Jan,Gen
FEB,Feb,Feb,Feb
MAR,Mar,Mär,Mar
APR,Apr,Apr,Apr
MAY,May,Mai,Mag
JUN,Jun,Jun,Giu
JUL,Jul,Jul,Lug
AUG,Aug,Aug,Ago
SEP,Sep,Sep,Set
OCT,Oct,Okt,Ott
NOV,Nov,Nov,Nov
DIC,Dic,Dez,Dic
GENERATION_SEED,Generation seed,Generation Seed,Seed generazione
